time,speed
201909010000,39.138
201909010010,40.465
201909010020,37.904
201909010030,38.134
201909010040,41.336
201909010050,41.215
201909010100,40.84
201909010110,36.726
201909010120,40.457
201909010130,40.641
201909010140,39.877
201909010150,39.401
201909010200,40.014
201909010210,40.607
201909010220,41.264
201909010230,41.598
201909010240,37.079
201909010250,40.872
201909010300,40.644
201909010310,37.219
201909010320,41.029
201909010330,41.464
201909010340,41.06
201909010350,40.594
201909010400,40.784
201909010410,40.793
201909010420,41.01
201909010430,37.358
201909010440,41.473
201909010450,41.07
201909010500,41.308
201909010510,40.54
201909010520,40.804
201909010530,40.904
201909010540,40.631
201909010550,41.291
201909010600,41.403
201909010610,40.819
201909010620,39.857
201909010630,39.582
201909010640,37.627
201909010650,35.515
201909010700,34.674
201909010710,35.507
201909010720,34.199
201909010730,38.679
201909010740,37.376
201909010750,36.419
201909010800,38.432
201909010810,39.657
201909010820,39.772
201909010830,38.571
201909010840,39.763
201909010850,36.719
201909010900,37.21
201909010910,37.234
201909010920,36.083
201909010930,38.571
201909010940,32.042
201909010950,35.266
201909011000,36.306
201909011010,34.76
201909011020,35.324
201909011030,36.216
201909011040,39.463
201909011050,37.027
201909011100,36.79
201909011110,36.439
201909011120,37.736
201909011130,38.705
201909011140,37.102
201909011150,37.319
201909011200,37.214
201909011210,37.683
201909011220,37.142
201909011230,37.546
201909011240,37.032
201909011250,38.686
201909011300,38.909
201909011310,37.07
201909011320,36.464
201909011330,37.154
201909011340,31.446
201909011350,37.404
201909011400,36.078
201909011410,37.835
201909011420,37.422
201909011430,38.367
201909011440,37.785
201909011450,38.951
201909011500,38.057
201909011510,37.537
201909011520,36.682
201909011530,36.531
201909011540,35.851
201909011550,36.572
201909011600,37.085
201909011610,36.435
201909011620,37.539
201909011630,35.428
201909011640,35.251
201909011650,35.837
201909011700,35.2
201909011710,34.92
201909011720,35.335
201909011730,35.492
201909011740,36.432
201909011750,35.242
201909011800,33.847
201909011810,33.854
201909011820,34.673
201909011830,34.769
201909011840,35.281
201909011850,34.036
201909011900,34.911
201909011910,33.744
201909011920,35.02
201909011930,35.105
201909011940,33.996
201909011950,34.941
201909012000,35.893
201909012010,35.154
201909012020,35.194
201909012030,37.179
201909012040,36.99
201909012050,37.13
201909012100,35.46
201909012110,35.672
201909012120,36.475
201909012130,37.927
201909012140,38.53
201909012150,38.733
201909012200,36.279
201909012210,38.735
201909012220,36.632
201909012230,37.132
201909012240,39.228
201909012250,37.992
201909012300,40.744
201909012310,38.172
201909012320,38.613
201909012330,38.971
201909012340,35.289
201909012350,40.848
201909020000,37.382
201909020010,37.793
201909020020,39.827
201909020030,38.624
201909020040,41.497
201909020050,38.077
201909020100,40.525
201909020110,40.98
201909020120,41.304
201909020130,39.894
201909020140,38.886
201909020150,40.53
201909020200,40.661
201909020210,41.488
201909020220,35.409
201909020230,33.429
201909020240,40.336
201909020250,41.036
201909020300,40.327
201909020310,40.694
201909020320,41.947
201909020330,36.791
201909020340,40.191
201909020350,41.053
201909020400,40.723
201909020410,40.483
201909020420,36.025
201909020430,42.03
201909020440,40.963
201909020450,39.617
201909020500,40.076
201909020510,41.68
201909020520,41.103
201909020530,42.009
201909020540,41.35
201909020550,40.019
201909020600,39.314
201909020610,40.66
201909020620,39.5
201909020630,37.311
201909020640,38.207
201909020650,32.319
201909020700,34.429
201909020710,31.094
201909020720,36.965
201909020730,35.048
201909020740,32.616
201909020750,34.782
201909020800,35.857
201909020810,37.619
201909020820,38.82
201909020830,36.364
201909020840,38.236
201909020850,35.868
201909020900,38.406
201909020910,37.586
201909020920,36.775
201909020930,37.768
201909020940,37.446
201909020950,36.418
201909021000,38.338
201909021010,37.362
201909021020,37.794
201909021030,37.213
201909021040,36.754
201909021050,38.062
201909021100,39.861
201909021110,37.204
201909021120,38.453
201909021130,37.956
201909021140,38.808
201909021150,39.556
201909021200,36.498
201909021210,37.993
201909021220,38.406
201909021230,38.684
201909021240,37.782
201909021250,38.858
201909021300,38.397
201909021310,39.759
201909021320,39.48
201909021330,38.702
201909021340,39.725
201909021350,38.215
201909021400,38.815
201909021410,38.184
201909021420,38.553
201909021430,38.453
201909021440,37.283
201909021450,37.277
201909021500,37.906
201909021510,37.579
201909021520,36.266
201909021530,36.843
201909021540,34.667
201909021550,33.482
201909021600,29.767
201909021610,38.335
201909021620,39.08
201909021630,36.885
201909021640,34.239
201909021650,36.28
201909021700,35.329
201909021710,33.789
201909021720,31.458
201909021730,32.619
201909021740,33.518
201909021750,27.75
201909021800,33.647
201909021810,31.51
201909021820,30.558
201909021830,30.336
201909021840,26.561
201909021850,20.747
201909021900,30.017
201909021910,33.655
201909021920,33.405
201909021930,35.014
201909021940,33.832
201909021950,34.089
201909022000,34.725
201909022010,33.93
201909022020,34.087
201909022030,35.037
201909022040,36.161
201909022050,37.012
201909022100,35.367
201909022110,35.024
201909022120,35.795
201909022130,35.686
201909022140,35.301
201909022150,36.219
201909022200,37.004
201909022210,36.813
201909022220,30.886
201909022230,20.276
201909022240,37.617
201909022250,37.812
201909022300,39.832
201909022310,40.258
201909022320,37.014
201909022330,38.052
201909022340,37.552
201909022350,40.937
201909030000,39.481
201909030010,35.209
201909030020,39.962
201909030030,40.593
201909030040,40.914
201909030050,40.817
201909030100,39.171
201909030110,40.917
201909030120,40.386
201909030130,37.375
201909030140,39.922
201909030150,39.493
201909030200,39.676
201909030210,40.811
201909030220,40.797
201909030230,41.27
201909030240,40.409
201909030250,40.105
201909030300,37.418
201909030310,37.206
201909030320,40.658
201909030330,36.151
201909030340,40.605
201909030350,37.33
201909030400,40.71
201909030410,38.965
201909030420,40.782
201909030430,40.115
201909030440,40.102
201909030450,41.141
201909030500,40.898
201909030510,37.901
201909030520,41.12
201909030530,35.544
201909030540,33.862
201909030550,39.647
201909030600,38.678
201909030610,39.183
201909030620,39.511
201909030630,38.131
201909030640,38.252
201909030650,37.508
201909030700,35.811
201909030710,35.35
201909030720,36.002
201909030730,34.964
201909030740,33.924
201909030750,35.166
201909030800,36.156
201909030810,34.692
201909030820,35.827
201909030830,36.211
201909030840,39.385
201909030850,38.121
201909030900,37.305
201909030910,37.207
201909030920,37.67
201909030930,37.566
201909030940,37.647
201909030950,37.473
201909031000,37.711
201909031010,39.133
201909031020,38.565
201909031030,41.194
201909031040,37.932
201909031050,38.821
201909031100,39.405
201909031110,37.388
201909031120,38.937
201909031130,38.489
201909031140,37.167
201909031150,38.125
201909031200,37.935
201909031210,38.598
201909031220,37.094
201909031230,38.323
201909031240,39.574
201909031250,39.691
201909031300,37.898
201909031310,39.112
201909031320,40.34
201909031330,38.754
201909031340,39.836
201909031350,39.808
201909031400,37.607
201909031410,37.476
201909031420,38.684
201909031430,37.591
201909031440,39.102
201909031450,38.704
201909031500,37.351
201909031510,38.148
201909031520,37.688
201909031530,36.939
201909031540,34.919
201909031550,36.704
201909031600,37.575
201909031610,37.14
201909031620,37.018
201909031630,36.985
201909031640,33.713
201909031650,34.682
201909031700,33.441
201909031710,33.453
201909031720,30.157
201909031730,30.301
201909031740,29.027
201909031750,25.934
201909031800,31.522
201909031810,22.49
201909031820,25.795
201909031830,29.358
201909031840,25.511
201909031850,33.409
201909031900,33.558
201909031910,31.471
201909031920,32.849
201909031930,34.975
201909031940,34.943
201909031950,35.257
201909032000,34.341
201909032010,32.093
201909032020,35.511
201909032030,35.604
201909032040,34.375
201909032050,35.611
201909032100,34.701
201909032110,35.629
201909032120,22.606
201909032130,34.031
201909032140,34.789
201909032150,36.641
201909032200,36.048
201909032210,35.559
201909032220,37.788
201909032230,36.713
201909032240,37.926
201909032250,39.089
201909032300,38.727
201909032310,39.977
201909032320,39.003
201909032330,40.827
201909032340,39.689
201909032350,38.271
201909040000,40.571
201909040010,39.108
201909040020,40.058
201909040030,40.641
201909040040,37.067
201909040050,41.004
201909040100,41.109
201909040110,39.517
201909040120,40.734
201909040130,41.752
201909040140,41.002
201909040150,40.634
201909040200,41.516
201909040210,39.697
201909040220,39.256
201909040230,41.267
201909040240,40.808
201909040250,41.361
201909040300,39.454
201909040310,38.544
201909040320,41.411
201909040330,41.256
201909040340,41.834
201909040350,39.655
201909040400,40.645
201909040410,40.002
201909040420,40.338
201909040430,35.003
201909040440,41.315
201909040450,35.096
201909040500,36.346
201909040510,36.962
201909040520,40.581
201909040530,34.908
201909040540,41.401
201909040550,41.243
201909040600,41.062
201909040610,41.061
201909040620,39.886
201909040630,40.24
201909040640,40.104
201909040650,36.886
201909040700,35.647
201909040710,37.771
201909040720,36.674
201909040730,34.481
201909040740,34.993
201909040750,34.843
201909040800,36.642
201909040810,38.583
201909040820,38.78
201909040830,36.011
201909040840,37.129
201909040850,37.19
201909040900,36.833
201909040910,37.836
201909040920,37.553
201909040930,38.958
201909040940,37.18
201909040950,38.239
201909041000,38.866
201909041010,38.827
201909041020,39.042
201909041030,39.045
201909041040,39.639
201909041050,40.463
201909041100,38.715
201909041110,36.387
201909041120,38.328
201909041130,37.689
201909041140,37.796
201909041150,37.911
201909041200,37.527
201909041210,36.554
201909041220,37.892
201909041230,39.428
201909041240,37.962
201909041250,38.576
201909041300,39.529
201909041310,38.598
201909041320,37.571
201909041330,37.633
201909041340,39.852
201909041350,38.283
201909041400,40.729
201909041410,39.569
201909041420,38.675
201909041430,40.063
201909041440,38.372
201909041450,39.151
201909041500,38.483
201909041510,38.037
201909041520,36.563
201909041530,35.924
201909041540,36.824
201909041550,37.962
201909041600,37.162
201909041610,36.789
201909041620,36.567
201909041630,36.133
201909041640,36.634
201909041650,34.62
201909041700,33.567
201909041710,28.873
201909041720,33.254
201909041730,33.31
201909041740,28.295
201909041750,25.216
201909041800,25.886
201909041810,26.086
201909041820,24.547
201909041830,33.257
201909041840,24.779
201909041850,28.324
201909041900,29.587
201909041910,32.356
201909041920,32.125
201909041930,28.953
201909041940,33.481
201909041950,34.511
201909042000,34.548
201909042010,33.901
201909042020,34.931
201909042030,33.381
201909042040,34.404
201909042050,35.324
201909042100,34.515
201909042110,34.966
201909042120,35.592
201909042130,35.206
201909042140,34.664
201909042150,34.987
201909042200,36.963
201909042210,35.713
201909042220,34.905
201909042230,35.718
201909042240,36.788
201909042250,37.113
201909042300,37.72
201909042310,37.675
201909042320,36.07
201909042330,38.005
201909042340,39.606
201909042350,36.952
201909050000,41.271
201909050010,39.68
201909050020,39.586
201909050030,40.13
201909050040,40.929
201909050050,41.207
201909050100,39.646
201909050110,41.033
201909050120,41.38
201909050130,41.157
201909050140,41.125
201909050150,41.268
201909050200,41.032
201909050210,40.729
201909050220,38.528
201909050230,40.377
201909050240,40.844
201909050250,41.21
201909050300,37.729
201909050310,38.207
201909050320,40.398
201909050330,38.182
201909050340,35.159
201909050350,33.882
201909050400,40.11
201909050410,40.479
201909050420,37.561
201909050430,39.198
201909050440,36.985
201909050450,36.684
201909050500,36.966
201909050510,40.153
201909050520,41.431
201909050530,40.025
201909050540,35.638
201909050550,39.305
201909050600,39.733
201909050610,39.119
201909050620,41.515
201909050630,41.553
201909050640,38.861
201909050650,38.06
201909050700,31.758
201909050710,31.642
201909050720,33.865
201909050730,36.815
201909050740,34.276
201909050750,34.123
201909050800,31.192
201909050810,38.154
201909050820,36.895
201909050830,38.425
201909050840,36.418
201909050850,36.757
201909050900,38.067
201909050910,35.397
201909050920,36.085
201909050930,36.438
201909050940,38.237
201909050950,37.427
201909051000,38.014
201909051010,38.665
201909051020,38.108
201909051030,37.578
201909051040,37.681
201909051050,38.095
201909051100,38.067
201909051110,36.712
201909051120,38.682
201909051130,37.246
201909051140,37.547
201909051150,36.884
201909051200,37.626
201909051210,38.486
201909051220,38.169
201909051230,36.876
201909051240,38.032
201909051250,39.157
201909051300,37.911
201909051310,37.171
201909051320,37.399
201909051330,37.907
201909051340,38.423
201909051350,28.385
201909051400,36.485
201909051410,38.887
201909051420,39.948
201909051430,37.975
201909051440,39.617
201909051450,37.018
201909051500,37.72
201909051510,38.233
201909051520,37.676
201909051530,38.517
201909051540,34.628
201909051550,37.048
201909051600,36.04
201909051610,37.297
201909051620,38.927
201909051630,36.212
201909051640,35.263
201909051650,36.074
201909051700,37.341
201909051710,32.701
201909051720,34.48
201909051730,32.617
201909051740,29.826
201909051750,31.623
201909051800,32.112
201909051810,28.98
201909051820,26.845
201909051830,29.154
201909051840,32.438
201909051850,32.194
201909051900,31.838
201909051910,32.39
201909051920,31.082
201909051930,31.331
201909051940,33.882
201909051950,35.703
201909052000,34.059
201909052010,31.957
201909052020,34.275
201909052030,23.521
201909052040,30.427
201909052050,34.98
201909052100,35.103
201909052110,36.294
201909052120,29.216
201909052130,21.064
201909052140,33.529
201909052150,24.15
201909052200,33.94
201909052210,37.623
201909052220,36.356
201909052230,24.204
201909052240,23.794
201909052250,36.978
201909052300,39.435
201909052310,39.46
201909052320,39.591
201909052330,40.826
201909052340,41.603
201909052350,40.059
201909060000,37.897
201909060010,40.853
201909060020,40.084
201909060030,38.822
201909060040,40.77
201909060050,38.667
201909060100,40.886
201909060110,40.686
201909060120,40.619
201909060130,39.203
201909060140,38.548
201909060150,41.168
201909060200,41.189
201909060210,39.842
201909060220,41.193
201909060230,40.612
201909060240,40.16
201909060250,40.87
201909060300,40.567
201909060310,38.903
201909060320,40.096
201909060330,41.09
201909060340,37.956
201909060350,40.615
201909060400,34.808
201909060410,38.62
201909060420,40.39
201909060430,41.193
201909060440,40.515
201909060450,40.842
201909060500,41.41
201909060510,40.016
201909060520,40.786
201909060530,34.608
201909060540,37.869
201909060550,37.458
201909060600,39.224
201909060610,39.392
201909060620,41.638
201909060630,41.283
201909060640,37.344
201909060650,38.086
201909060700,37.046
201909060710,34.534
201909060720,33.997
201909060730,37.687
201909060740,33.837
201909060750,26.307
201909060800,28.979
201909060810,34.677
201909060820,36.59
201909060830,39.041
201909060840,37.849
201909060850,37.67
201909060900,37.888
201909060910,38.205
201909060920,39.099
201909060930,37.791
201909060940,37.074
201909060950,39.472
201909061000,36.629
201909061010,38.484
201909061020,37.6
201909061030,37.537
201909061040,37.546
201909061050,38.2
201909061100,36.699
201909061110,37.168
201909061120,39.144
201909061130,38.332
201909061140,37.496
201909061150,37.412
201909061200,37.523
201909061210,37.961
201909061220,38.08
